date,Tweet count,Retweet count,Like count,Avg VADER Neg,Avg VADER Neu,Avg VADER Pos,Avg VADER Comp,Avg VADER Score,FinBert Pos count,FinBert Neu count,FinBert Neg count,FinBert proportion Pos,FinBert proportion Neu,FinBert proportion Neg
12/4/2021,279,232,1891,8.22,250.666,20.106,55.0204,3530552.222,13,260,6,0.046594982,0.931899642,0.021505376
13/4/2021,351,392,2090,15.421,302.999,32.583,79.0614,3201495.137,22,324,5,0.062678063,0.923076923,0.014245014
14/4/2021,392,131,1017,14.396,343.291,34.315,84.187,56290.0559,15,366,11,0.038265306,0.933673469,0.028061224
15/4/2021,318,384,1743,8.346,280.538,29.114,86.4669,717985.0907,9,300,9,0.028301887,0.943396226,0.028301887
16/4/2021,614,367,1975,12.701,518.379,82.923,285.822,2118784.762,69,537,8,0.11237785,0.874592834,0.013029316
17/4/2021,286,79,689,6.673,249.515,29.81,108.1947,392874.7796,20,261,5,0.06993007,0.912587413,0.017482517
18/4/2021,395,832,4333,17.58,345.797,31.635,71.3229,991872.898,18,364,13,0.04556962,0.921518987,0.032911392
19/4/2021,341,283,2537,12.718,301.268,27.022,67.9035,-333688.9927,18,317,6,0.052785924,0.929618768,0.017595308
20/4/2021,391,469,4297,12.215,345.363,33.414,102.4735,2628677.58,13,367,11,0.033248082,0.938618926,0.028132992
21/4/2021,375,288,1401,9.317,327.594,38.091,119.4108,3383523.331,31,334,10,0.082666667,0.890666667,0.026666667
22/4/2021,381,164,1054,13.851,330.568,36.574,93.4331,90486.3777,16,353,12,0.041994751,0.926509186,0.031496063
23/4/2021,459,942,6213,22.942,406.436,29.635,35.9759,-1473351.734,26,418,15,0.05664488,0.910675381,0.032679739
24/4/2021,313,191,1197,11.629,280.326,21.045,43.6309,1706911.07,19,287,7,0.060702875,0.916932907,0.022364217
25/4/2021,316,206,1274,10.892,279.951,25.157,60.4199,2548098.566,15,295,6,0.047468354,0.933544304,0.018987342
26/4/2021,368,171,863,12.834,324.616,30.553,78.7468,273571.5099,17,341,10,0.046195652,0.926630435,0.027173913
27/4/2021,351,490,3587,10.965,308.78,31.251,85.8553,1384659.148,19,328,4,0.054131054,0.934472934,0.011396011
28/4/2021,295,193,1158,10.287,261.176,23.545,61.4613,1105967.521,13,278,4,0.044067797,0.942372881,0.013559322
29/4/2021,337,662,4054,12.493,296.431,28.077,63.8149,1070298.295,11,319,7,0.03264095,0.946587537,0.020771513
30/4/2021,307,125,571,9.699,273.417,23.884,60.7537,486985.9698,10,291,6,0.03257329,0.947882736,0.019543974
1/5/2021,402,277,1264,9.401,340.592,52.014,146.7533,2016835.455,16,380,6,0.039800995,0.945273632,0.014925373
2/5/2021,268,200,1563,9.236,237.428,21.332,57.9845,732213.8866,8,256,4,0.029850746,0.955223881,0.014925373
3/5/2021,304,471,2058,9.068,270.153,24.781,71.0539,2779731.327,12,288,4,0.039473684,0.947368421,0.013157895
4/5/2021,442,4510,32644,10.487,388.141,43.372,155.7193,18270175.36,18,418,6,0.040723982,0.945701357,0.013574661
5/5/2021,429,392,3797,12.361,362.775,53.862,163.1933,1476801.357,22,401,6,0.051282051,0.934731935,0.013986014
6/5/2021,366,342,1238,5.49,318.633,41.87,160.3696,1342839.801,14,348,4,0.038251366,0.950819672,0.010928962
7/5/2021,256,303,1147,7.548,229.536,18.915,47.1565,566690.7972,21,231,4,0.08203125,0.90234375,0.015625
8/5/2021,260,140,751,8.492,232.409,19.099,45.2891,202522.0252,9,243,8,0.034615385,0.934615385,0.030769231
9/5/2021,276,160,658,7.526,248.762,19.709,57.4989,764392.1047,15,255,6,0.054347826,0.923913043,0.02173913
10/5/2021,279,339,3034,8.525,251.9,18.578,43.5406,393378.1858,10,264,5,0.035842294,0.946236559,0.017921147
11/5/2021,297,217,906,8.794,263.255,24.954,74.0165,1038115.518,8,283,6,0.026936027,0.952861953,0.02020202
12/5/2021,338,487,1887,14.49,294.482,29.027,67.1839,52636.9109,15,313,10,0.044378698,0.926035503,0.029585799
13/5/2021,859,1988,17079,49.823,730.978,78.189,120.8446,-8822562.583,53,760,46,0.061699651,0.884749709,0.05355064
